#OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2	Taxonomy
OTU1873	0	0	0	0	0	0	0	0	0	0	0	3	8	5	9	14	19	12	20	SS|0.9600|AY211073_S000401752;k:Bacteria,p:"Verrucomicrobia",c:Subdivision3,g:Subdivision3_genera_incertae_sedis
OTU1874	0	0	4	0	0	0	0	0	0	0	0	17	13	57	26	124	48	92	132	SS|0.9600|AB597950_S002440613;k:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Solirubrobacterales
OTU1875	0	0	0	0	0	0	0	0	0	0	0	11	6	23	12	16	19	15	38	SS|1.0000|D30790_S000413734;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
OTU1876	0	0	0	0	0	0	0	0	0	0	0	10	2	6	6	5	4	8	11	GS|79.4|EF457427_S000834852;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp15,g:Gp15;
OTU1877	0	0	0	0	0	0	0	0	0	0	0	3	0	8	9	15	11	5	14	SS|1.0000|EF457389_S000834814;k:Bacteria
OTU1878	0	0	0	0	0	0	0	0	0	0	0	0	3	10	17	9	7	6	14	SS|0.8200|U51864_S000529207;k:Bacteria,p:"Verrucomicrobia"
OTU1879	0	0	0	0	0	0	0	0	0	0	0	13	0	2	4	23	5	10	1	GS|97.2|JQ309130_S003619637;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Blastocatella;
OTU188	0	0	53	0	0	0	0	0	0	0	0	311	97	280	167	215	174	331	301	SS|1.0000|EU672873_S001153278;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
OTU1880	0	0	0	0	0	0	0	0	0	0	0	12	19	32	18	31	19	28	54	GS|98.4|EF394922_S000995281;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,g:Reyranella;
OTU1881	0	0	0	0	0	0	0	0	0	0	0	2	12	2	2	9	4	4	12	GS|82.2|AB450762_S001572357;k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_IV,g:Caldicoprobacter;
OTU1882	0	0	0	0	0	0	0	0	0	0	0	34	44	104	62	124	63	201	194	SS|0.9900|AJ231184_S000008536;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1883	0	0	11	0	0	0	0	0	40	0	0	4	4	18	21	43	23	21	67	SS|0.8600|HM204925_S002226966;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
OTU1884	0	0	0	0	0	0	0	0	0	0	0	1	2	12	6	7	6	5	13	SS|1.0000|EU135004_S000933598;k:Bacteria
OTU1885	0	0	0	0	0	0	0	0	0	0	0	2	0	26	1	4	21	12	3	SS|1.0000|AY289397_S000405866;k:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp10,g:Gp10
OTU1886	0	0	0	0	0	0	0	0	0	0	0	7	1	6	3	13	4	2	5	SS|1.0000|AJ231184_S000008536;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1887	0	0	0	0	0	0	0	0	0	0	0	15	4	4	6	3	2	1	3	SS|0.8600|AJ233944_S000539321;k:Bacteria,p:"Proteobacteria"
OTU1888	0	0	0	0	0	0	0	0	0	0	0	3	5	9	6	3	12	4	11	SS|0.9200|AJ784892_S000539621;k:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales"
OTU1889	0	0	0	0	0	0	0	0	0	0	0	6	5	16	23	16	7	5	7	SS|0.8900|AB305640_S000925473;k:Bacteria,p:"Verrucomicrobia"
OTU189	0	0	0	0	0	0	0	0	0	0	0	168	96	354	226	317	281	419	521	SS|1.0000|AB365487_S000964321;k:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
OTU1890	0	0	0	0	0	0	0	0	0	0	0	5	7	6	3	8	1	3	11	SS|0.8100|KC867694_S003811167;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,g:Thermogutta
OTU1891	0	0	0	0	0	0	0	0	0	0	0	3	0	7	6	9	3	5	8	SS|1.0000|AB243673_S000622967;k:Bacteria
OTU1892	0	0	0	0	0	0	0	0	0	0	0	6	5	6	4	10	9	9	19	SS|1.0000|X76436_S000008091;k:Bacteria
OTU1893	0	6	0	0	0	0	0	0	0	0	0	5	12	5	2	15	7	29	28	GS|97.6|AB245375_S000627911;k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Alicyclobacillaceae,g:Tumebacillus;
OTU1894	0	0	0	0	0	0	0	0	0	0	0	9	12	17	9	18	6	33	19	SS|1.0000|DQ986200_S000736608;k:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1895	0	0	0	0	0	0	0	0	0	0	0	0	2	9	5	20	7	2	15	GS|98.0|EU109722_S000927276;k:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Sphingobacteriaceae,g:Mucilaginibacter;
OTU1896	0	0	0	0	0	0	0	0	0	0	0	2	0	9	6	8	9	17	7	SS|1.0000|GU207876_S002224491;k:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae
OTU1897	0	0	0	0	0	0	0	0	0	0	0	1	2	13	8	26	12	3	19	SS|1.0000|JQ429496_S003290833;k:Bacteria,p:"Verrucomicrobia",c:Verrucomicrobiae,o:Verrucomicrobiales
OTU1898	0	0	0	0	0	0	0	0	0	0	0	2	4	19	16	16	5	5	5	SS|0.9900|GQ421850_S001589379;k:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales
OTU1899	0	2	0	0	0	0	0	0	0	0	0	9	0	3	4	22	2	4	4	SS|1.0000|EF457480_S000834905;k:Bacteria
OTU19	0	13	1	0	0	0	0	0	0	0	0	809	733	4766	2334	5273	2603	3359	6312	GS|99.6|AF155567_S000388272;k:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Cupriavidus;
OTU190	0	140	214	45	0	124	492	11	5	0	0	0	0	0	0	0	0	0	0	SS|0.9900|CP003544_S004062589;k:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Gammaproteobacteria_incertae_sedis,g:Candidatus_Carsonella
OTU1900	0	0	0	0	0	0	0	0	0	0	0	24	3	18	20	22	13	17	31	SS|0.9800|AB552861_S002235994;k:Bacteria,p:"Verrucomicrobia"
