OTU ID	Leaf-Ctrl2	Leaf-L3.9-Mericon100-1	Leaf-L3.9-Mericon100-2	Leaf-L3.9-PlantPro100-1	Leaf-L3.9-PlantPro100-2	Leaf-L7-PlantPro100-1	Leaf-L7-PlantPro100.2	Leaf-Magmax100-1	Leaf-Magmax100-2	Root-Ctrl-1	Root-Ctrl-2	Root-Magmax100-1	Root-Magmax100-2	Root-R3.9-Mericon100-1	Root-R3.9-Mericon100-2	Root-R3.9-PlantPro100-1	Root-R3.9-PlantPro100-2	Root-R7-PlantPro100-1	Root-R7-PlantPro100-2
OTU10171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
OTU10172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
OTU10173	0	0	0	0	0	0	0	0	0	0	0	6	2	2	8	18	18	10	16
OTU10174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
OTU10175	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU10176	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
OTU10178	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU1018	0	0	0	0	0	0	0	0	0	0	0	22	6	34	14	34	16	45	34
OTU10180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
OTU10181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
OTU10184	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OTU10186	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
OTU10187	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
OTU10188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
OTU10189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1019	0	0	0	0	0	0	0	0	0	0	0	5	10	21	4	27	15	22	24
OTU10190	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0
OTU10191	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU10192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
