	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU7742	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Panacagrimonas	NA
OTU7743	Bacteria	Acidobacteria	Acidobacteria_Gp7	NA	NA	Gp7	NA
OTU7744	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Oscillochloris	NA
OTU7745	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata	NA
OTU7746	Bacteria	Acidobacteria	Acidobacteria_Gp2	NA	NA	Gp2	NA
OTU7747	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Algiphilaceae	Algiphilus	NA
OTU7751	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU7752	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	NA
OTU7754	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU7755	Bacteria	NA	NA	NA	NA	NA	NA
OTU7756	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7758	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7759	Bacteria	NA	NA	NA	NA	NA	NA
OTU7760	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
OTU7761	Bacteria	NA	NA	NA	NA	NA	NA
OTU7762	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
OTU7763	Bacteria	NA	NA	NA	NA	NA	NA
OTU7764	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7765	Bacteria	NA	NA	NA	NA	NA	NA
OTU7766	NA	NA	NA	NA	NA	NA	NA
OTU7767	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU7768	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7769	Bacteria	NA	NA	NA	NA	NA	NA
OTU7771	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
OTU7772	Bacteria	Armatimonadetes	NA	NA	NA	Armatimonadetes_gp5	NA
OTU7775	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7776	NA	NA	NA	NA	NA	NA	NA
OTU7777	Bacteria	NA	NA	NA	NA	NA	NA
OTU7778	Bacteria	NA	NA	NA	NA	NA	NA
OTU7779	Bacteria	NA	NA	NA	NA	NA	NA
OTU7780	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7781	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU7782	Bacteria	Acidobacteria	NA	NA	NA	NA	NA
OTU7783	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7784	NA	NA	NA	NA	NA	NA	NA
OTU7785	Bacteria	Parcubacteria	NA	NA	NA	Parcubacteria_genera_incertae_sedis	NA
OTU7788	NA	NA	NA	NA	NA	NA	NA
OTU7789	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU7790	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	NA	NA	NA
OTU7792	Bacteria	NA	NA	NA	NA	NA	NA
OTU7794	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA
OTU7795	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU7796	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	NA	NA	NA
OTU7797	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Schlesneria	NA
OTU7798	Bacteria	NA	NA	NA	NA	NA	NA
OTU7799	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
OTU7801	NA	NA	NA	NA	NA	NA	NA
OTU7802	Bacteria	Acidobacteria	Acidobacteria_Gp22	NA	NA	Gp22	NA
OTU7803	Bacteria	NA	NA	NA	NA	NA	NA
OTU7804	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU7805	Bacteria	Acidobacteria	Acidobacteria_Gp6	NA	NA	Gp6	NA
OTU7807	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
OTU7809	Bacteria	NA	NA	NA	NA	NA	NA
OTU7810	Bacteria	Acidobacteria	Acidobacteria_Gp4	NA	NA	Pyrinomonas	NA
OTU7811	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA
OTU7812	Bacteria	NA	NA	NA	NA	NA	NA
OTU7813	Bacteria	NA	NA	NA	NA	NA	NA
OTU7814	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	NA	NA	NA
OTU7815	Bacteria	NA	NA	NA	NA	NA	NA
OTU7816	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7819	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Syntrophus	NA
OTU7820	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
OTU7821	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	NA	NA
OTU7823	NA	NA	NA	NA	NA	NA	NA
OTU7824	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	NA
